config,arena,scenario,n_reps,detect_raw,detect_arima,delta,published_raw,published_arima,reproduced_raw,reproduced_arima,se_paired,se_independence,tightens_under_pairing,table
grid_v5_qbreak.yaml,ar1_t5,qvar_x1.5,500,0.194,0.108,0.08600000000000001,0.194,0.108,True,True,0.016423991445138418,0.022481103175778543,True,Table 3 (q)
grid_v5_qbreak.yaml,ar1_t5,qvar_x3,500,0.928,0.658,0.27,0.928,0.658,True,True,0.02066528751835872,0.024159966887394524,True,Table 3 (q)
grid_v9_r_phi99.yaml,ar1_phi99_snr0.1,variance_x1.5,500,0.976,0.58,0.396,0.976,0.58,True,True,0.022075839403536652,0.023109478574818605,True,Table 3b (phi=0.99)
grid_v9_r_phi99.yaml,ar1_phi99_snr0.1,variance_x3,500,1.0,0.974,0.026000000000000023,1.0,0.974,True,True,0.007123868260853507,0.007116740827092135,False,Table 3b (phi=0.99)
grid_v9_r_phi99.yaml,ar1_phi99_snr0.5,variance_x1.5,500,0.24,0.2,0.03999999999999998,0.24,0.2,True,True,0.02092069192692734,0.026168683574073804,True,Table 3b (phi=0.99)
grid_v9_r_phi99.yaml,ar1_phi99_snr0.5,variance_x3,500,1.0,0.988,0.01200000000000001,1.0,0.988,True,True,0.004874373707264981,0.004869496893930627,False,Table 3b (phi=0.99)
grid_v9_r_phi99.yaml,ar1_phi99_snr2.0,variance_x1.5,500,0.072,0.266,-0.194,0.072,0.266,True,True,0.02266617548290942,0.022893667246642685,True,Table 3b (phi=0.99)
grid_v9_r_phi99.yaml,ar1_phi99_snr2.0,variance_x3,500,0.558,0.992,-0.43399999999999994,0.558,0.992,True,True,0.02289839892539855,0.02256421946356665,False,Table 3b (phi=0.99)
grid_v9b_r_phi_lo.yaml,ar1_phi0.5_snr0.1,variance_x1.5,500,0.996,0.41,0.5860000000000001,0.996,0.41,True,True,0.022049497969827858,0.022175842712284916,True,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.5_snr0.1,variance_x3,500,1.0,0.996,0.0040000000000000036,1.0,0.996,True,True,0.002825591608118863,0.002822764602300377,False,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.5_snr0.5,variance_x1.5,500,0.936,0.9,0.03600000000000003,0.936,0.9,True,True,0.009674460728162656,0.01731496462601064,True,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.5_snr0.5,variance_x3,500,1.0,1.0,0.0,1.0,1.0,True,True,0.0,0.0,False,"Table 3c (phi=0.5,0.8)"
