draw,null_minp,argmin_method
310,0.481,lsc_composite
311,0.481,lsc_composite
312,0.14915,lsc_tail_cusum
313,0.1492,raw_var_cusum
314,0.2774,lsc_kalman_cusum
315,0.481,lsc_composite
316,0.1521,raw_cusum
317,0.5535,lsc_tail_cusum
318,1.0,lsc_composite
319,1.0,lsc_composite
320,0.481,lsc_composite
321,0.481,lsc_composite
322,0.481,lsc_composite
323,0.10165,lsc_composite
324,0.10165,lsc_composite
325,0.0183,raw_var_cusum
326,0.481,lsc_composite
327,1.0,lsc_composite
328,0.1492,raw_var_cusum
329,0.1521,raw_cusum
330,0.0198,lsc_tail_cusum
331,0.481,lsc_composite
332,0.1521,raw_cusum
333,0.5535,lsc_tail_cusum
334,0.10165,lsc_composite
335,0.1492,raw_var_cusum
336,0.10165,lsc_composite
337,0.1492,raw_var_cusum
338,0.10165,lsc_composite
339,0.481,lsc_composite
340,0.481,lsc_composite
341,0.481,lsc_composite
342,0.5535,lsc_tail_cusum
343,0.1492,raw_var_cusum
344,0.5535,lsc_tail_cusum
345,0.1492,raw_var_cusum
346,0.2774,lsc_kalman_cusum
347,0.481,lsc_composite
348,1.0,lsc_composite
349,0.5619,raw_var_cusum
350,0.2774,lsc_kalman_cusum
351,0.10165,lsc_composite
352,0.10165,lsc_composite
353,0.2774,lsc_kalman_cusum
354,0.481,lsc_composite
355,0.02015,lsc_kalman_cusum
356,0.14915,lsc_tail_cusum
357,0.481,lsc_composite
358,0.1492,raw_var_cusum
359,0.481,lsc_composite
360,0.2774,lsc_kalman_cusum
361,0.10165,lsc_composite
362,0.1521,raw_cusum
363,0.1492,raw_var_cusum
364,0.14915,lsc_tail_cusum
365,0.1492,raw_var_cusum
366,0.5535,lsc_tail_cusum
367,0.14915,lsc_tail_cusum
368,0.481,lsc_composite
369,1.0,lsc_composite
370,1.0,lsc_composite
371,0.2774,lsc_kalman_cusum
372,0.14915,lsc_tail_cusum
373,0.1521,raw_cusum
374,0.481,lsc_composite
375,0.1521,raw_cusum
376,0.481,lsc_composite
377,0.2774,lsc_kalman_cusum
378,0.5619,raw_var_cusum
379,1.0,lsc_composite
380,0.2774,lsc_kalman_cusum
381,0.1521,raw_cusum
382,0.481,lsc_composite
383,0.02015,lsc_kalman_cusum
384,0.481,lsc_composite
385,1.0,lsc_composite
386,0.481,lsc_composite
387,0.1492,raw_var_cusum
388,0.1521,raw_cusum
389,0.10165,lsc_composite
390,0.0198,lsc_tail_cusum
391,0.2774,lsc_kalman_cusum
392,0.2774,lsc_kalman_cusum
393,0.02015,lsc_kalman_cusum
394,0.10165,lsc_composite
395,0.1492,raw_var_cusum
396,0.481,lsc_composite
397,0.5535,lsc_tail_cusum
398,0.1521,raw_cusum
399,0.1521,raw_cusum
400,0.5535,lsc_tail_cusum
401,0.10165,lsc_composite
402,0.2774,lsc_kalman_cusum
403,1.0,lsc_composite
404,0.10165,lsc_composite
405,0.2774,lsc_kalman_cusum
406,1.0,lsc_composite
407,0.5535,lsc_tail_cusum
408,0.1521,raw_cusum
409,0.5535,lsc_tail_cusum
410,0.14915,lsc_tail_cusum
411,0.0183,raw_var_cusum
412,0.5535,lsc_tail_cusum
413,0.1492,raw_var_cusum
414,1.0,lsc_composite
415,1.0,lsc_composite
416,0.1521,raw_cusum
417,0.0183,raw_var_cusum
418,0.2774,lsc_kalman_cusum
419,0.5619,raw_var_cusum
420,0.10165,lsc_composite
421,0.481,lsc_composite
422,0.1521,raw_cusum
423,0.2774,lsc_kalman_cusum
424,0.14915,lsc_tail_cusum
425,0.5619,raw_var_cusum
426,0.14915,lsc_tail_cusum
427,0.481,lsc_composite
428,0.5535,lsc_tail_cusum
429,1.0,lsc_composite
430,0.0198,lsc_tail_cusum
431,1.0,lsc_composite
432,0.481,lsc_composite
433,0.481,lsc_composite
434,0.10165,lsc_composite
435,0.481,lsc_composite
436,0.10165,lsc_composite
437,0.2774,lsc_kalman_cusum
438,0.14915,lsc_tail_cusum
439,0.5535,lsc_tail_cusum
440,0.1521,raw_cusum
441,0.14915,lsc_tail_cusum
442,0.1521,raw_cusum
443,0.5535,lsc_tail_cusum
444,0.00925,lsc_composite
445,0.02015,lsc_kalman_cusum
446,0.1492,raw_var_cusum
447,1.0,lsc_composite
448,0.0198,lsc_tail_cusum
449,0.10165,lsc_composite
450,0.1521,raw_cusum
451,0.481,lsc_composite
452,0.5619,raw_var_cusum
453,0.2774,lsc_kalman_cusum
454,0.02015,lsc_kalman_cusum
455,1.0,lsc_composite
456,0.14915,lsc_tail_cusum
457,0.2774,lsc_kalman_cusum
458,0.0198,lsc_tail_cusum
459,0.481,lsc_composite
460,0.1492,raw_var_cusum
461,0.1492,raw_var_cusum
462,0.02015,lsc_kalman_cusum
463,0.14915,lsc_tail_cusum
464,0.14915,lsc_tail_cusum
465,0.481,lsc_composite
466,0.1521,raw_cusum
467,0.14915,lsc_tail_cusum
468,0.14915,lsc_tail_cusum
469,1.0,lsc_composite
470,0.481,lsc_composite
471,0.5619,raw_var_cusum
472,0.2774,lsc_kalman_cusum
473,1.0,lsc_composite
474,0.5619,raw_var_cusum
475,0.481,lsc_composite
476,0.481,lsc_composite
477,0.1492,raw_var_cusum
478,0.1492,raw_var_cusum
479,0.2774,lsc_kalman_cusum
480,0.14915,lsc_tail_cusum
481,0.2774,lsc_kalman_cusum
482,0.14915,lsc_tail_cusum
483,0.2774,lsc_kalman_cusum
484,0.481,lsc_composite
485,0.5619,raw_var_cusum
486,0.1521,raw_cusum
487,0.14915,lsc_tail_cusum
488,0.1492,raw_var_cusum
489,0.1492,raw_var_cusum
490,0.1492,raw_var_cusum
491,0.2774,lsc_kalman_cusum
492,0.5535,lsc_tail_cusum
493,0.10165,lsc_composite
494,0.14915,lsc_tail_cusum
495,0.2774,lsc_kalman_cusum
496,0.1492,raw_var_cusum
497,0.00925,lsc_composite
498,0.1492,raw_var_cusum
499,0.2774,lsc_kalman_cusum
500,0.10165,lsc_composite
501,0.14915,lsc_tail_cusum
502,1.0,lsc_composite
503,0.5535,lsc_tail_cusum
504,0.1492,raw_var_cusum
505,0.481,lsc_composite
506,0.14915,lsc_tail_cusum
507,0.5535,lsc_tail_cusum
508,0.2774,lsc_kalman_cusum
509,0.10165,lsc_composite
510,0.2774,lsc_kalman_cusum
511,0.481,lsc_composite
512,0.1492,raw_var_cusum
513,0.14915,lsc_tail_cusum
514,0.1492,raw_var_cusum
515,0.10165,lsc_composite
516,0.14915,lsc_tail_cusum
517,0.5619,raw_var_cusum
518,0.10165,lsc_composite
519,0.10165,lsc_composite
520,0.14915,lsc_tail_cusum
521,0.1492,raw_var_cusum
522,0.00925,lsc_composite
523,0.481,lsc_composite
524,0.1521,raw_cusum
525,0.1492,raw_var_cusum
526,0.5619,raw_var_cusum
527,0.1521,raw_cusum
528,0.5535,lsc_tail_cusum
529,0.14915,lsc_tail_cusum
530,0.5535,lsc_tail_cusum
531,0.1492,raw_var_cusum
532,0.0198,lsc_tail_cusum
533,1.0,lsc_composite
534,0.1492,raw_var_cusum
535,0.5535,lsc_tail_cusum
536,0.1492,raw_var_cusum
537,1.0,lsc_composite
538,0.14915,lsc_tail_cusum
539,1.0,lsc_composite
540,0.1492,raw_var_cusum
541,0.14915,lsc_tail_cusum
542,0.5535,lsc_tail_cusum
543,0.481,lsc_composite
544,0.5535,lsc_tail_cusum
545,0.1521,raw_cusum
546,0.1492,raw_var_cusum
547,0.5535,lsc_tail_cusum
548,0.1492,raw_var_cusum
549,0.02015,lsc_kalman_cusum
550,0.1492,raw_var_cusum
551,0.5619,raw_var_cusum
552,0.14915,lsc_tail_cusum
553,0.481,lsc_composite
554,0.1521,raw_cusum
555,0.481,lsc_composite
556,0.0183,raw_var_cusum
557,0.2774,lsc_kalman_cusum
558,0.481,lsc_composite
559,0.5535,lsc_tail_cusum
560,0.2774,lsc_kalman_cusum
561,0.1492,raw_var_cusum
562,0.481,lsc_composite
563,0.5535,lsc_tail_cusum
564,0.14915,lsc_tail_cusum
565,0.5619,raw_var_cusum
566,0.14915,lsc_tail_cusum
567,0.10165,lsc_composite
568,0.5619,raw_var_cusum
569,0.481,lsc_composite
570,0.481,lsc_composite
571,0.1492,raw_var_cusum
572,0.5619,raw_var_cusum
573,0.14915,lsc_tail_cusum
574,0.481,lsc_composite
575,0.14915,lsc_tail_cusum
576,1.0,lsc_composite
577,0.10165,lsc_composite
578,0.10165,lsc_composite
579,0.2774,lsc_kalman_cusum
580,0.2774,lsc_kalman_cusum
581,0.14915,lsc_tail_cusum
582,0.2774,lsc_kalman_cusum
583,0.14915,lsc_tail_cusum
584,0.5619,raw_var_cusum
585,0.14915,lsc_tail_cusum
586,0.00075,lsc_tail_cusum
587,0.5535,lsc_tail_cusum
588,0.5619,raw_var_cusum
589,0.1492,raw_var_cusum
590,0.2774,lsc_kalman_cusum
591,1.0,lsc_composite
592,0.5535,lsc_tail_cusum
593,0.10165,lsc_composite
594,0.1521,raw_cusum
595,0.481,lsc_composite
596,0.481,lsc_composite
597,0.14915,lsc_tail_cusum
598,0.2774,lsc_kalman_cusum
599,0.14915,lsc_tail_cusum
600,0.481,lsc_composite
601,0.481,lsc_composite
602,0.2774,lsc_kalman_cusum
603,0.1521,raw_cusum
604,0.5619,raw_var_cusum
605,0.14915,lsc_tail_cusum
606,0.1521,raw_cusum
607,0.14915,lsc_tail_cusum
608,0.5535,lsc_tail_cusum
609,0.5619,raw_var_cusum
610,0.481,lsc_composite
611,0.02015,lsc_kalman_cusum
612,0.2774,lsc_kalman_cusum
613,0.5535,lsc_tail_cusum
614,0.2774,lsc_kalman_cusum
615,0.1521,raw_cusum
616,1.0,lsc_composite
617,0.14915,lsc_tail_cusum
618,1.0,lsc_composite
619,0.1521,raw_cusum
