t,Y,raw_var_cusum_score
1.250000000000000000e+02,-1.447132953459130622e+00,1.521872774632774217e+01
1.260000000000000000e+02,-1.150254172072046055e+00,1.491348744994086317e+01
1.270000000000000000e+02,-1.675543394389113594e+00,1.559901152121027934e+01
1.280000000000000000e+02,-5.888813130617849279e-01,1.469142898739366387e+01
1.290000000000000000e+02,-1.015581543807690501e+00,1.419868655547101888e+01
1.300000000000000000e+02,-2.187319489942167294e+00,1.624664472824744976e+01
1.310000000000000000e+02,-1.718780798283035427e+00,1.703211466466609636e+01
1.320000000000000000e+02,-2.838796667000351270e+00,2.138150199091999681e+01
1.330000000000000000e+02,-1.604077738405815357e+00,2.190796296181534686e+01
1.340000000000000000e+02,-1.373365961973790350e+00,2.197309078915481706e+01
1.350000000000000000e+02,-2.087340607062007525e+00,2.372408002379785685e+01
1.360000000000000000e+02,-1.370290735832573104e+00,2.378359659347622213e+01
1.370000000000000000e+02,-1.736246443079267010e+00,2.461023278279281001e+01
1.380000000000000000e+02,-2.506236864028542399e+00,2.770544454767348341e+01
1.390000000000000000e+02,-7.417072228491069508e-01,2.691511991601734621e+01
1.400000000000000000e+02,-1.161124779540074536e+00,2.662619847906699277e+01
1.410000000000000000e+02,-2.069192180880740750e+00,2.832488536816203251e+01
1.420000000000000000e+02,8.428855614465979862e-02,2.731688543278695747e+01
1.430000000000000000e+02,-2.102071614841744207e+00,2.911069071784874751e+01
1.440000000000000000e+02,-1.743847087332410117e+00,2.995538407364225719e+01
1.450000000000000000e+02,1.153527341292055475e-01,2.895912043837419247e+01
1.460000000000000000e+02,-1.036718149900825559e+00,2.849401035282792805e+01
1.470000000000000000e+02,-1.416499889222654351e-01,2.744410045827515177e+01
1.480000000000000000e+02,-2.230291781622895542e+00,2.962429671214914961e+01
1.490000000000000000e+02,-1.223953806028060143e+00,2.943315864267385606e+01
1.500000000000000000e+02,-1.745265688677185345e+00,3.028123180294597105e+01
1.510000000000000000e+02,-1.869188937072735257e+00,3.143617413596845367e+01
1.520000000000000000e+02,-3.131149758526445281e-01,3.040544856299200305e+01
1.530000000000000000e+02,-1.493172029315048999e+00,3.070019876698498607e+01
1.540000000000000000e+02,-1.070268281054119308e+00,3.028032244341871504e+01
1.550000000000000000e+02,3.281495451935229068e-01,2.940328665254751428e+01
1.560000000000000000e+02,2.889031475279966177e-01,2.849916466241863233e+01
1.570000000000000000e+02,-4.768058015697047569e-01,2.752780684633644270e+01
1.580000000000000000e+02,3.500282822862070264e-01,2.666687156554462490e+01
1.590000000000000000e+02,1.370983660908774215e+00,2.735396145742525675e+01
1.600000000000000000e+02,-1.467463908707150155e+00,2.759762883238763465e+01
1.610000000000000000e+02,-4.436368604431682461e-01,2.661100163045810163e+01
1.620000000000000000e+02,-1.237371655321090946e+00,2.644151186893418881e+01
1.630000000000000000e+02,-1.681013670850364683e+00,2.713952621746307869e+01
1.640000000000000000e+02,-1.579504888387318839e+00,2.761306065750527239e+01
1.650000000000000000e+02,3.475291327040395117e-01,2.675025001645264311e+01
1.660000000000000000e+02,2.049921471498603154e+00,2.933041103366085878e+01
1.670000000000000000e+02,1.133371684376939914e+00,2.951793878122363068e+01
1.680000000000000000e+02,-1.225925941902009209e+00,2.932996565737521166e+01
1.690000000000000000e+02,2.020129612855590118e+00,3.181258693188545195e+01
1.700000000000000000e+02,1.586104346845199076e-02,3.078382893430616818e+01
1.710000000000000000e+02,-3.315661791377150780e-01,2.975778995359889123e+01
1.720000000000000000e+02,-8.241968601438161013e-01,2.904528203968893862e+01
1.730000000000000000e+02,-1.499369903832215023e+00,2.935249558768672173e+01
1.740000000000000000e+02,-8.903135251360134728e-01,2.870971124744876946e+01
1.750000000000000000e+02,-1.882162521370412955e-01,2.766065923940143634e+01
1.760000000000000000e+02,-1.752756336474481591e+00,2.852662873687672374e+01
1.770000000000000000e+02,-6.035840454656639098e-01,2.762880744730477289e+01
1.780000000000000000e+02,-5.315703181079446393e-01,2.668626412559585503e+01
1.790000000000000000e+02,8.832271993379680053e-01,2.643918094173942279e+01
1.800000000000000000e+02,4.872015856230080821e-01,2.569551737037473060e+01
1.810000000000000000e+02,-7.792097380635798487e-02,2.464969321705957483e+01
1.820000000000000000e+02,-1.759883674939592968e+00,2.553276901203134841e+01
1.830000000000000000e+02,-5.379921089612846874e-01,2.459389855918821510e+01
1.840000000000000000e+02,-5.432544018686296106e-01,2.365808382314468616e+01
