T,arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
500,ar1_phi0.8_snr0.5,level_3s,raw_cusum,500,0.992,0.003987957825156938,0.008,0.003987957825156938,0.0,0.0,25.133064516129032,0.44792895191925164,24.0,25.133064516129032,0.44792895191925164
500,ar1_phi0.95_snr0.5,level_1s,lsc_kalman_cusum,500,0.112,0.014117741364768125,0.01,0.004454175497072093,0.878,0.01465132494504475,234.76565656565657,2.21079170244218,98.5,115.33928571428571,9.779559812210042
500,ar1_phi0.95_snr0.5,level_1s,raw_cusum,500,0.3,0.020514426225627987,0.002,0.002,0.698,0.02055326917420912,220.66933867735472,2.503185824433084,155.0,152.42666666666668,4.997980322888348
500,ar1_phi0.95_snr0.5,level_3s,lsc_kalman_cusum,500,0.554,0.022252153078595936,0.01,0.004454175497072093,0.436,0.0221989546414769,153.29090909090908,4.4075466584343905,53.0,77.18050541516246,3.804998293964492
500,ar1_phi0.95_snr0.5,level_3s,raw_cusum,500,0.99,0.004454175497072093,0.002,0.002,0.008,0.003987957825156938,83.14829659318637,1.8261352760203726,75.0,81.8,1.7116840200805248
500,ar1_phi0.99_snr0.5,level_1s,lsc_kalman_cusum,500,0.084,0.012417584015643749,0.004,0.002825591608118863,0.912,0.012682021421471788,240.6024096385542,1.6773938361780925,151.5,138.57142857142858,11.27448389320939
500,ar1_phi0.99_snr0.5,level_1s,raw_cusum,500,0.146,0.015807205175834907,0.0,0.0,0.854,0.015807205175834907,237.066,1.70627372600533,168.0,161.41095890410958,6.716787494988243
500,ar1_phi0.99_snr0.5,level_3s,lsc_kalman_cusum,500,0.302,0.02055326917420912,0.004,0.002825591608118863,0.694,0.020629569998345417,203.05220883534136,3.540457901970541,75.0,95.16556291390728,5.060599048935867
500,ar1_phi0.99_snr0.5,level_3s,raw_cusum,500,0.778,0.018604414758250098,0.0,0.0,0.222,0.018604414758250098,165.424,2.859175793903005,140.0,141.2904884318766,2.598439806066196
500,ar1_phi0.5_snr2.0,level_1s,lsc_kalman_cusum,500,0.83,0.016815633531393464,0.008,0.003987957825156938,0.162,0.016494123566423557,103.93548387096774,3.7470755053940765,55.0,75.42650602409638,2.835972854508663
500,ar1_phi0.5_snr2.0,level_1s,raw_cusum,500,0.966,0.008112930375552174,0.018,0.005951709476392708,0.016,0.005617036781471955,64.9775967413442,2.096680979942347,51.0,61.91304347826087,1.829535582986346
500,ar1_phi0.5_snr2.0,level_3s,lsc_kalman_cusum,500,0.992,0.003987957825156938,0.008,0.003987957825156938,0.0,0.0,7.310483870967742,0.1537277838401411,7.0,7.310483870967742,0.1537277838401411
500,ar1_phi0.5_snr2.0,level_3s,raw_cusum,500,0.982,0.005951709476392708,0.018,0.005951709476392708,0.0,0.0,9.592668024439918,0.13536559350182878,9.0,9.592668024439918,0.13536559350182878
500,ar1_phi0.8_snr2.0,level_1s,lsc_kalman_cusum,500,0.368,0.021588982568353548,0.018,0.005951709476392708,0.614,0.021793529219281196,196.62729124236253,3.6094472163712092,99.5,107.57608695652173,4.8765861160510715
500,ar1_phi0.8_snr2.0,level_1s,raw_cusum,500,0.726,0.019966103540279518,0.008,0.003987957825156938,0.266,0.019780559675655396,152.3266129032258,3.5148564556515596,107.0,116.53994490358127,3.1446928501955917
500,ar1_phi0.8_snr2.0,level_3s,lsc_kalman_cusum,500,0.974,0.007123868260853507,0.018,0.005951709476392708,0.008,0.003987957825156938,20.289205702647656,1.2434506637342426,13.0,18.40246406570842,0.8201188609850636
500,ar1_phi0.8_snr2.0,level_3s,raw_cusum,500,0.992,0.003987957825156938,0.008,0.003987957825156938,0.0,0.0,26.669354838709676,0.43098929042969036,25.0,26.669354838709676,0.43098929042969036
500,ar1_phi0.95_snr2.0,level_1s,lsc_kalman_cusum,500,0.116,0.01433523623788572,0.03,0.007636532803997704,0.854,0.015807205175834907,232.29278350515463,2.4653277917945484,100.0,101.93103448275862,9.639065945319844
500,ar1_phi0.95_snr2.0,level_1s,raw_cusum,500,0.294,0.02039509548493655,0.002,0.002,0.704,0.02043534209189623,223.43887775551102,2.2837510662350864,166.0,159.83673469387756,4.594669810126494
500,ar1_phi0.95_snr2.0,level_3s,lsc_kalman_cusum,500,0.674,0.020984009562393675,0.03,0.007636532803997704,0.296,0.020435342091896225,110.3319587628866,4.730185982619982,24.0,48.99406528189911,3.1129359306839586
500,ar1_phi0.95_snr2.0,level_3s,raw_cusum,500,0.988,0.004874373707264981,0.002,0.002,0.01,0.004454175497072093,98.16833667334669,1.912128552845908,91.0,96.63157894736842,1.8035037051094192
500,ar1_phi0.99_snr2.0,level_1s,lsc_kalman_cusum,500,0.066,0.011114633153652916,0.016,0.0056170367814719555,0.918,0.012282251724127365,241.9268292682927,1.6163697470866154,120.0,129.63636363636363,13.240406631542516
500,ar1_phi0.99_snr2.0,level_1s,raw_cusum,500,0.144,0.015716934945725784,0.0,0.0,0.856,0.015716934945725784,238.546,1.5447525007512217,170.0,170.45833333333334,6.339289807702492
500,ar1_phi0.99_snr2.0,level_3s,lsc_kalman_cusum,500,0.358,0.021461434862859133,0.016,0.0056170367814719555,0.626,0.021660710347204473,182.5548780487805,4.311541198310669,39.0,64.62011173184358,4.256415465279916
500,ar1_phi0.99_snr2.0,level_3s,raw_cusum,500,0.75,0.019384310743640384,0.0,0.0,0.25,0.019384310743640384,177.838,2.7198224906713167,153.0,153.784,2.640379576234327
