config,arena,scenario,phi,snr,delta_sigma_ref,K,F,mu_inf,k,h,L,bound_value,bound_vacuous,bound_below_resolution_floor,h_fixed_ref,bound_at_fixed_h,bound_vacuous_fixed_h,observed_detect_est,observed_detect_known
grid_v6_phisweep,ar1_phi0.95_snr0.5,level_1s,0.95,0.5,1.0,0.1651,1.1978,0.1562,0.5,22.1451,375,9.155568936876292e-05,False,True,22.1451,9.155568936876292e-05,False,0.112,
grid_v6_phisweep,ar1_phi0.95_snr0.5,level_3s,0.95,0.5,3.0,0.1651,1.1978,0.4685,0.5,22.1451,250,62.25585617865831,True,False,22.1451,62.25585617865831,True,0.554,0.97
grid_v6_phisweep,ar1_phi0.95_snr0.5,level_3s,0.95,0.5,3.0,0.1651,1.1978,0.4685,0.5,22.1451,375,93.25976861822919,True,False,22.1451,93.25976861822919,True,0.554,0.97
grid_v6_phisweep,ar1_phi0.95_snr2.0,level_1s,0.95,2.0,1.0,0.3302,1.493,0.1591,0.5,15.3659,250,0.00707846772212597,False,False,15.3659,0.00707846772212597,False,0.116,
grid_v6_phisweep,ar1_phi0.95_snr2.0,level_1s,0.95,2.0,1.0,0.3302,1.493,0.1591,0.5,15.3659,375,0.010603601049877946,False,False,15.3659,0.010603601049877946,False,0.116,
grid_v6_phisweep,ar1_phi0.95_snr2.0,level_3s,0.95,2.0,3.0,0.3302,1.493,0.4773,0.5,15.3659,250,125.07270446032803,True,False,15.3659,125.07270446032803,True,0.674,
grid_v6_phisweep,ar1_phi0.95_snr2.0,level_3s,0.95,2.0,3.0,0.3302,1.493,0.4773,0.5,15.3659,375,187.35990787682604,True,False,15.3659,187.35990787682604,True,0.674,
grid_v6_phisweep,ar1_phi0.99_snr0.1,level_1s,0.99,0.1,1.0,0.0353,1.0365,0.0692,0.5,22.8441,250,7.097819647590096e-07,False,True,17.3722,7.920630092999303e-05,False,0.146,
grid_v6_phisweep,ar1_phi0.99_snr0.1,level_1s,0.99,0.1,1.0,0.0353,1.0365,0.0692,0.5,22.8441,375,1.0632590388421817e-06,False,True,17.3722,0.00011865166991903339,False,0.146,
grid_v6_phisweep,ar1_phi0.99_snr0.1,level_3s,0.99,0.1,3.0,0.0353,1.0365,0.2075,0.5,22.8441,250,0.00039458470269828033,False,True,17.3722,0.009688604328536327,False,0.626,
grid_v6_phisweep,ar1_phi0.99_snr0.1,level_3s,0.99,0.1,3.0,0.0353,1.0365,0.2075,0.5,22.8441,375,0.0005910910287432406,False,True,17.3722,0.014513606484181908,False,0.626,
grid_v6_phisweep,ar1_phi0.99_snr0.5,level_1s,0.99,0.5,1.0,0.0867,1.0949,0.0705,0.5,80.1557,250,3.1569078103829117e-28,False,True,22.1451,1.3768923776154923e-06,False,0.084,
grid_v6_phisweep,ar1_phi0.99_snr0.5,level_1s,0.99,0.5,1.0,0.0867,1.0949,0.0705,0.5,80.1557,375,4.72907305459751e-28,False,True,22.1451,2.0625957529220125e-06,False,0.084,
grid_v6_phisweep,ar1_phi0.99_snr0.5,level_3s,0.99,0.5,3.0,0.0867,1.0949,0.2116,0.5,80.1557,250,2.0933021911953417e-18,False,True,22.1451,0.0007118140510845076,False,0.302,
grid_v6_phisweep,ar1_phi0.99_snr0.5,level_3s,0.99,0.5,3.0,0.0867,1.0949,0.2116,0.5,80.1557,375,3.1357833621093566e-18,False,True,22.1451,0.0010663031203497005,False,0.302,
grid_v6_phisweep,ar1_phi0.99_snr2.0,level_1s,0.99,2.0,1.0,0.1733,1.2097,0.0708,0.5,36.2114,250,7.944905374011588e-12,False,True,15.3659,0.00046909756593564115,False,0.066,
grid_v6_phisweep,ar1_phi0.99_snr2.0,level_1s,0.99,2.0,1.0,0.1733,1.2097,0.0708,0.5,36.2114,375,1.1901531556288275e-11,False,True,15.3659,0.0007027118916008011,False,0.066,
grid_v6_phisweep,ar1_phi0.99_snr2.0,level_3s,0.99,2.0,3.0,0.1733,1.2097,0.2124,0.5,36.2114,250,2.258204303725104e-07,False,True,15.3659,0.036402759890920205,False,0.358,
grid_v6_phisweep,ar1_phi0.99_snr2.0,level_3s,0.99,2.0,3.0,0.1733,1.2097,0.2124,0.5,36.2114,375,3.382808040639996e-07,False,True,15.3659,0.054531624378430274,False,0.358,
