draw_index,seed,null_max_score
314,100314,5.920955156053433
315,100315,6.471689400699648
316,100316,10.739728112598758
317,100317,4.643626501511434
318,100318,5.640717360159371
319,100319,18.271065043658737
320,100320,4.934195967925898
321,100321,7.185786651433279
322,100322,8.679761729313316
323,100323,7.429150991050303
324,100324,4.685412533156392
325,100325,5.537389377628008
326,100326,16.41342370720658
327,100327,3.420636936150018
328,100328,6.790110292207957
329,100329,9.35845267639592
330,100330,5.772011485034669
331,100331,4.228434201879745
332,100332,14.340148564882254
333,100333,5.820296172421509
334,100334,9.909176931726149
335,100335,20.907625671462082
336,100336,4.548921019766644
337,100337,6.189949602076804
338,100338,48.07677921400325
339,100339,8.384371963190787
340,100340,4.700315309809192
341,100341,5.3606779248694485
342,100342,5.515303210659816
343,100343,13.443174235863987
344,100344,4.486182579091192
345,100345,15.347406408435596
346,100346,10.888425597090238
347,100347,4.8215392598594855
348,100348,8.215774835981156
349,100349,4.550861178358113
350,100350,4.112140682702751
351,100351,3.571538592650752
352,100352,6.854695439412017
353,100353,8.971401811940487
354,100354,4.175298881222961
355,100355,4.130843988956346
356,100356,10.828479496805121
357,100357,5.7467212805774155
358,100358,4.426723451613345
359,100359,6.576640182076038
360,100360,10.385186911746505
361,100361,3.447612919183263
362,100362,6.4022268351713425
363,100363,6.459473260700663
364,100364,4.4240595250080474
365,100365,6.4758503492254835
366,100366,3.8644462296015263
367,100367,9.317255128975928
368,100368,8.677886867013228
369,100369,5.540837343330207
370,100370,5.197880223071793
371,100371,7.414124071810706
372,100372,5.044674673070406
373,100373,5.12976496463911
374,100374,8.23709953080995
375,100375,5.232693095912222
376,100376,3.7624759313883622
377,100377,6.161973475727116
378,100378,11.244301787008883
379,100379,5.27801197204133
380,100380,4.057050435308378
381,100381,6.356207300381426
382,100382,7.682368140698433
383,100383,5.203968088952905
384,100384,7.1583135975295
385,100385,6.2075365998135466
386,100386,5.380910829634583
387,100387,4.248727081609186
388,100388,6.492889647162366
389,100389,12.175161371302485
390,100390,3.6468859797191397
391,100391,5.9907308482110775
392,100392,7.994872894806047
393,100393,10.10589133057446
394,100394,7.0748084834842855
395,100395,4.933695161234633
396,100396,7.977816266016303
397,100397,7.925449595705508
398,100398,7.072007532625198
399,100399,5.725994184562995
400,100400,4.652745843578122
401,100401,9.193579372232657
402,100402,6.348047788027304
403,100403,6.317815832021854
404,100404,5.48941147143594
405,100405,5.6975738927208
406,100406,9.225207046513729
407,100407,4.5304271425981755
408,100408,16.691143163230755
409,100409,7.863357612945913
410,100410,3.8429016673498744
411,100411,4.4915068901640485
412,100412,6.823472547751592
413,100413,5.5516424240877935
414,100414,15.662735132042279
415,100415,3.7389746081286708
416,100416,11.948323384112006
417,100417,6.394424185000413
418,100418,10.513047508869308
419,100419,6.58840866604103
420,100420,8.58018902861115
421,100421,10.696573141173285
